,Place_Grew_Up,Price_Importance,Brand_Importance,Peer_Importance,Utility_Importance,Track_Expenditures,Expenditure_Graph,Justify_Unexpected_Expense,Unplanned_Purchases,Peer_Influence,Finance_Confidence,Monthly_Spend,Group,Budget_FoodDining,Budget_Travel,Budget_Fashion,Budget_Subscriptions,Budget_Entertainment,Risk_score
0,🏘️ Small town,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,3,4,3,1,No,Yes,No,No,No,2.66
1,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,3,4,4,2,Yes,No,No,No,No,48.22
2,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,4,10,3,Yes,Yes,Yes,Yes,Yes,99.61
3,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"Social celebrations or parties., A planned trip with friends.",2,3,3,4,2,No,Yes,No,No,No,48.18
4,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,4,10,3,Yes,Yes,Yes,Yes,Yes,99.61
5,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,1,3,3,1,Yes,Yes,Yes,No,No,2.54
6,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,3,2,4,5,2,Yes,No,No,No,No,48.21
7,🏢 Medium-sized city,Very important,Not important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,3,3,1,1,Yes,Yes,Yes,No,No,2.5
8,🏘️ Small town,Very important,Very important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",4,5,4,10,3,Yes,Yes,Yes,Yes,Yes,99.29
9,🏘️ Small town,Very important,Slightly important,Very important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,4,3,1,9,3,Yes,No,No,No,No,98.98
10,🌾 Rural area,Very important,Slightly important,Slightly important,Not important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A 50% discount on a brand I highly value.,2,1,4,3,1,Yes,Yes,Yes,No,No,4.89
11,🌾 Rural area,Slightly important,Not important,Not important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,A planned trip with friends.,2,4,4,1,1,Yes,Yes,Yes,Yes,Yes,7.36
12,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",2,3,2,10,3,Yes,No,No,No,No,98.64
13,🏢 Medium-sized city,Slightly important,Very important,Very important,Very important,I check my bank balance occasionally.,Uniform Daily Expenses,A planned trip with friends.,3,5,5,8,3,Yes,No,No,No,Yes,98.93
14,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,3,2,4,5,2,Yes,No,No,No,No,48.21
15,🏙️ Big metro city,Not important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",5,5,2,9,3,Yes,No,Yes,No,No,99.82
16,🏘️ Small town,Slightly important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,3,4,3,5,2,Yes,Yes,No,No,Yes,48.49
17,🏙️ Big metro city,Not important,Slightly important,Very important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,5,2,10,3,No,Yes,Yes,Yes,No,100.0
18,🏘️ Small town,Very important,Not important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,A planned trip with friends.,3,2,3,2,1,Yes,Yes,Yes,No,No,3.1
19,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,5,5,4,9,3,Yes,Yes,Yes,No,Yes,99.79
20,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A 50% discount on a brand I highly value.,4,2,5,6,2,No,No,Yes,No,No,48.89
21,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,"Social celebrations or parties., A planned trip with friends.",2,3,4,4,2,No,Yes,No,No,No,48.18
